"date","adm_cd","m00","m05","m10","m15","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","m75","m80","m85","f00","f05","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","f75","f80","f85","total"
"20240327","45180310","0.0","4.04","22.22","5.05","54.54","134.33","138.37","139.38","135.34","175.74","205.03","236.34","239.37","148.47","78.78","68.68","23.23","31.31","0.0","15.15","9.09","8.08","40.4","60.6","57.57","63.63","62.62","78.78","135.34","158.57","140.39","75.75","56.56","44.44","38.38","36.36","4001.62"
"20240323","45180330","0.0","3.03","9.09","8.08","21.21","17.17","26.26","22.22","40.4","40.4","57.57","82.82","95.95","58.58","41.41","28.28","20.2","16.16","0.0","3.03","7.07","4.04","9.09","16.16","17.17","24.24","22.22","19.19","30.3","43.43","64.64","39.39","28.28","24.24","33.33","29.29","1316.03"
"20240331","47770330","0.0","2.02","0.0","2.02","0.0","6.06","5.05","13.13","18.18","11.11","21.21","43.43","68.68","47.47","29.29","17.17","10.1","6.06","0.0","2.02","1.01","2.02","2.02","3.03","3.03","8.08","13.13","10.1","19.19","28.28","47.47","32.32","33.33","14.14","17.17","8.08","730.23"
"20240328","43750320","0.0","5.05","9.09","23.23","117.16","177.76","178.77","173.72","195.94","204.02","250.48","272.7","252.5","170.69","81.81","45.45","27.27","52.52","0.0","8.08","14.14","16.16","30.3","55.55","55.55","49.49","55.55","79.79","129.28","133.32","133.32","99.99","59.59","38.38","31.31","44.44","5420.67"
"20240309","43750320","0.0","4.04","17.17","40.4","164.63","138.37","140.39","128.27","158.57","167.66","229.27","265.63","261.59","187.86","82.82","39.39","27.27","47.47","0.0","12.12","16.16","25.25","59.59","62.62","71.71","45.45","67.67","89.89","150.49","156.55","159.58","106.05","72.72","36.36","36.36","43.43","5372.19"
"20240305","45180330","0.0","2.02","10.1","3.03","31.31","17.17","32.32","25.25","54.54","43.43","67.67","65.65","76.76","52.52","32.32","30.3","14.14","14.14","0.0","1.01","7.07","1.01","7.07","16.16","16.16","25.25","17.17","27.27","30.3","42.42","57.57","37.37","23.23","24.24","31.31","22.22","1316.03"
"20240324","43750320","0.0","16.16","19.19","36.36","109.08","121.2","150.49","117.16","181.8","160.59","222.2","304.01","277.75","210.08","103.02","62.62","28.28","51.51","0.0","16.16","26.26","27.27","28.28","79.79","74.74","63.63","71.71","103.02","189.88","212.1","206.04","126.25","72.72","38.38","34.34","45.45","5677.21"
"20240327","47770370","1.01","6.06","10.1","3.03","23.23","38.38","53.53","51.51","63.63","67.67","105.04","127.26","133.32","91.91","71.71","31.31","14.14","11.11","0.0","4.04","11.11","4.04","11.11","33.33","16.16","29.29","33.33","40.4","68.68","91.91","101.0","59.59","63.63","32.32","24.24","32.32","1939.2"
"20240318","45180340","0.0","1.01","0.0","3.03","20.2","26.26","56.56","44.44","46.46","52.52","68.68","101.0","103.02","86.86","49.49","40.4","15.15","23.23","0.0","0.0","3.03","2.02","7.07","21.21","21.21","27.27","17.17","31.31","34.34","78.78","70.7","43.43","47.47","31.31","44.44","40.4","1711.95"
"20240310","45180400","0.0","5.05","19.19","8.08","12.12","39.39","42.42","30.3","51.51","63.63","92.92","103.02","103.02","114.13","65.65","49.49","29.29","24.24","0.0","2.02","13.13","8.08","11.11","11.11","23.23","26.26","21.21","46.46","66.66","71.71","102.01","79.79","57.57","37.37","29.29","36.36","1997.78"
"20240320","45180330","0.0","1.01","10.1","3.03","27.27","60.6","39.39","34.34","51.51","47.47","76.76","74.74","92.92","64.64","41.41","25.25","19.19","18.18","0.0","2.02","8.08","1.01","10.1","16.16","15.15","24.24","23.23","27.27","41.41","48.48","58.58","40.4","25.25","23.23","32.32","29.29","1509.95"
"20240313","45180595","0.0","5.05","18.18","14.14","39.39","103.02","118.17","98.98","117.16","113.12","147.46","179.78","171.7","119.18","59.59","46.46","30.3","26.26","0.0","8.08","14.14","17.17","36.36","89.89","78.78","52.52","62.62","68.68","103.02","124.23","107.06","54.54","44.44","34.34","28.28","28.28","3260.28"
"20240311","45180420","0.0","3.03","12.12","3.03","13.13","22.22","23.23","18.18","21.21","33.33","63.63","89.89","83.83","69.69","26.26","25.25","21.21","13.13","0.0","2.02","3.03","0.0","6.06","11.11","5.05","11.11","8.08","22.22","29.29","54.54","51.51","41.41","26.26","25.25","31.31","22.22","1192.81"
"20240323","43750350","0.0","21.21","46.46","45.45","191.9","496.92","490.86","409.05","409.05","340.37","431.27","485.81","482.78","330.27","127.26","64.64","42.42","174.73","0.0","18.18","42.42","26.26","71.71","138.37","167.66","143.42","159.58","174.73","284.82","283.81","268.66","196.95","83.83","44.44","41.41","124.23","10831.24"
"20240315","45180360","0.0","1.01","6.06","5.05","6.06","17.17","24.24","25.25","26.26","34.34","43.43","55.55","52.52","40.4","29.29","24.24","10.1","7.07","0.0","2.02","6.06","1.01","9.09","17.17","3.03","11.11","7.07","13.13","31.31","31.31","38.38","34.34","26.26","17.17","14.14","11.11","910.01"
